activityId,actors,category,subcategory,city
375,,展览休闲,特色体验,长沙
376,,儿童亲子,其他儿童亲子,泉州
377,艺人：胡军、卢芳、苗驰,话剧歌剧,话剧,北京
378,,展览休闲,展会,上海
379,,展览休闲,特色体验,北京
380,,话剧歌剧,话剧,佛山
381,艺人：余笛,话剧歌剧,音乐剧,北京
382,,曲苑杂坛,其他曲苑杂坛,上海
383,艺人：刘若英,演唱会,流行,哈尔滨
384,艺人：刘德华,演唱会,其他演唱会,北京
385,艺人：陈粒,演唱会,其他演唱会,南京
386,艺人：李宗盛,演唱会,流行,蚌埠
387,,展览休闲,展会,成都
388,,话剧歌剧,音乐剧,广州
389,,音乐会,室内乐及古乐,上海
390,艺人：李宗盛,演唱会,其他演唱会,岳阳
391,,话剧歌剧,话剧,杭州
392,艺人：吴青峰,演唱会,流行,苏州
393,艺人：吴青峰,演唱会,其他演唱会,无锡
394,,体育,其他体育,上海
395,,展览休闲,特色体验,沈阳
396,,音乐会,其他音乐会,成都
397,艺人：宁财神、何念、宁浩,话剧歌剧,话剧,上海
398,艺人：Ruel,演唱会,其他演唱会,中国香港
399,,儿童亲子,其他儿童亲子,兴安盟
400,艺人：新秀,演唱会,其他演唱会,上海
401,,儿童亲子,其他儿童亲子,佛山
402,,展览休闲,特色体验,成都
403,,儿童亲子,其他儿童亲子,佛山
404,,展览休闲,展会,丽水
405,,儿童亲子,其他儿童亲子,深圳
406,,儿童亲子,其他儿童亲子,深圳
407,,展览休闲,展会,上海
408,,展览休闲,特色体验,连云港
409,,展览休闲,特色体验,上海
410,,展览休闲,特色体验,北京
411,,曲苑杂坛,相声,北京
412,,展览休闲,特色体验,北京
413,,体育,篮球,东莞
414,艺人：韦礼安,演唱会,流行,国际及港澳台
415,,话剧歌剧,音乐剧,广州
416,,展览休闲,展会,长沙
417,艺人：梁静茹,演唱会,其他演唱会,上海
418,艺人：李六乙、胡军、濮存昕,话剧歌剧,话剧,广州
419,,话剧歌剧,话剧,青岛
420,,儿童亲子,其他儿童亲子,天津
421,,曲苑杂坛,戏曲,郑州
422,艺人：蔡依林,演唱会,其他演唱会,成都
423,,音乐会,其他音乐会,杭州
424,,展览休闲,展会,深圳
425,,音乐会,其他音乐会,广州
426,艺人：梁静茹,演唱会,流行,金华
427,,儿童亲子,其他儿童亲子,济南
428,,儿童亲子,其他儿童亲子,昆明
429,艺人：张杰,演唱会,流行,合肥
430,艺人：张杰,演唱会,流行,苏州
431,,话剧歌剧,音乐剧,深圳
432,艺人：周杰伦,演唱会,流行,海口
433,,儿童亲子,其他儿童亲子,杭州
