activityId,actors,category,subcategory,city
1984,,展览休闲,展会,上海
1985,,展览休闲,展会,上海
1986,,展览休闲,展会,上海
1987,,展览休闲,展会,上海
1988,,展览休闲,展会,上海
1989,,展览休闲,展会,上海
1990,,儿童亲子,其他儿童亲子,深圳
1991,,儿童亲子,其他儿童亲子,深圳
1992,,儿童亲子,其他儿童亲子,深圳
1993,,儿童亲子,其他儿童亲子,深圳
1994,,儿童亲子,其他儿童亲子,深圳
1995,,儿童亲子,其他儿童亲子,深圳
1996,,儿童亲子,其他儿童亲子,深圳
1997,,儿童亲子,其他儿童亲子,深圳
1998,,儿童亲子,其他儿童亲子,深圳
1999,,儿童亲子,其他儿童亲子,石家庄
2000,,儿童亲子,其他儿童亲子,石家庄
2001,,儿童亲子,其他儿童亲子,石家庄
2002,,儿童亲子,其他儿童亲子,石家庄
2003,,儿童亲子,其他儿童亲子,石家庄
2004,,儿童亲子,其他儿童亲子,石家庄
2005,,儿童亲子,其他儿童亲子,石家庄
2006,,儿童亲子,其他儿童亲子,石家庄
2007,,儿童亲子,其他儿童亲子,石家庄
2008,,音乐会,其他音乐会,北京
2009,,音乐会,其他音乐会,北京
2010,,音乐会,其他音乐会,北京
2011,,音乐会,其他音乐会,北京
2012,,音乐会,其他音乐会,北京
2013,,音乐会,其他音乐会,北京
2014,,音乐会,其他音乐会,北京
2015,,音乐会,其他音乐会,北京
2016,,音乐会,其他音乐会,北京
2017,艺人：林奕匡,演唱会,其他演唱会,东莞
2018,艺人：林奕匡,演唱会,其他演唱会,东莞
2019,艺人：林奕匡,演唱会,其他演唱会,东莞
2020,艺人：林奕匡,演唱会,其他演唱会,东莞
2021,艺人：林奕匡,演唱会,其他演唱会,东莞
2022,艺人：林奕匡,演唱会,其他演唱会,东莞
2023,艺人：林奕匡,演唱会,其他演唱会,东莞
2024,艺人：林奕匡,演唱会,其他演唱会,东莞
2025,艺人：林奕匡,演唱会,其他演唱会,东莞
2026,,儿童亲子,其他儿童亲子,广州
2027,,儿童亲子,其他儿童亲子,广州
2028,,儿童亲子,其他儿童亲子,广州
2029,,儿童亲子,其他儿童亲子,广州
2030,,儿童亲子,其他儿童亲子,广州
2031,,儿童亲子,其他儿童亲子,广州
2032,,儿童亲子,其他儿童亲子,广州
2033,,儿童亲子,其他儿童亲子,广州
2034,,儿童亲子,其他儿童亲子,广州
2035,,儿童亲子,其他儿童亲子,杭州
2036,,儿童亲子,其他儿童亲子,杭州
2037,,儿童亲子,其他儿童亲子,杭州
2038,,儿童亲子,其他儿童亲子,杭州
2039,,儿童亲子,其他儿童亲子,杭州
2040,,儿童亲子,其他儿童亲子,杭州
2041,,儿童亲子,其他儿童亲子,杭州
2042,,儿童亲子,其他儿童亲子,杭州
2043,,儿童亲子,其他儿童亲子,杭州
2044,,话剧歌剧,话剧,青岛
2045,,话剧歌剧,话剧,青岛
2046,,话剧歌剧,话剧,青岛
2047,,话剧歌剧,话剧,青岛
2048,,话剧歌剧,话剧,青岛
2049,,话剧歌剧,话剧,青岛
2050,,话剧歌剧,话剧,青岛
2051,,话剧歌剧,话剧,青岛
2052,,话剧歌剧,话剧,青岛
2053,,展览休闲,展会,北京
2054,,展览休闲,展会,北京
2055,,展览休闲,展会,北京
2056,,展览休闲,展会,北京
2057,,展览休闲,展会,北京
2058,,展览休闲,展会,北京
2059,,展览休闲,展会,北京
2060,,展览休闲,展会,北京
2061,,展览休闲,展会,北京
2062,,展览休闲,特色体验,成都
2063,,展览休闲,特色体验,成都
2064,,展览休闲,特色体验,成都
2065,,展览休闲,特色体验,成都
2066,,展览休闲,特色体验,成都
2067,,展览休闲,特色体验,成都
2068,,展览休闲,特色体验,成都
2069,,展览休闲,特色体验,成都
2070,,展览休闲,特色体验,成都
2071,艺人：Tizzy T,演唱会,其他演唱会,上海
2072,艺人：Tizzy T,演唱会,其他演唱会,上海
2073,艺人：Tizzy T,演唱会,其他演唱会,上海
2074,艺人：Tizzy T,演唱会,其他演唱会,上海
2075,艺人：Tizzy T,演唱会,其他演唱会,上海
2076,艺人：Tizzy T,演唱会,其他演唱会,上海
2077,艺人：Tizzy T,演唱会,其他演唱会,上海
2078,艺人：Tizzy T,演唱会,其他演唱会,上海
2079,艺人：Tizzy T,演唱会,其他演唱会,上海
2080,艺人：陈粒,演唱会,流行,长沙
2081,艺人：陈粒,演唱会,流行,长沙
2082,艺人：陈粒,演唱会,流行,长沙
2083,艺人：陈粒,演唱会,流行,长沙
2084,艺人：陈粒,演唱会,流行,长沙
2085,艺人：陈粒,演唱会,流行,长沙
2086,艺人：陈粒,演唱会,流行,长沙
2087,艺人：陈粒,演唱会,流行,长沙
2088,艺人：陈粒,演唱会,流行,长沙
2089,,舞蹈芭蕾,舞蹈,昆明
2090,,舞蹈芭蕾,舞蹈,昆明
2091,,舞蹈芭蕾,舞蹈,昆明
2092,,舞蹈芭蕾,舞蹈,昆明
2093,,舞蹈芭蕾,舞蹈,昆明
2094,,舞蹈芭蕾,舞蹈,昆明
2095,,舞蹈芭蕾,舞蹈,昆明
2096,,舞蹈芭蕾,舞蹈,昆明
2097,,舞蹈芭蕾,舞蹈,昆明
2098,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2099,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2100,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2101,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2102,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2103,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2104,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2105,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2106,艺人：CHRISTOPHER,演唱会,其他演唱会,广州
2107,艺人：刘若英,演唱会,其他演唱会,郑州
2108,艺人：刘若英,演唱会,其他演唱会,郑州
2109,艺人：刘若英,演唱会,其他演唱会,郑州
2110,艺人：刘若英,演唱会,其他演唱会,郑州
2111,艺人：刘若英,演唱会,其他演唱会,郑州
2112,艺人：刘若英,演唱会,其他演唱会,郑州
2113,艺人：刘若英,演唱会,其他演唱会,郑州
2114,艺人：刘若英,演唱会,其他演唱会,郑州
2115,艺人：刘若英,演唱会,其他演唱会,郑州
2116,,展览休闲,展会,北京
2117,,展览休闲,展会,北京
2118,,展览休闲,展会,北京
2119,,展览休闲,展会,北京
2120,,展览休闲,展会,北京
2121,,展览休闲,展会,北京
2122,,展览休闲,展会,北京
2123,,展览休闲,展会,北京
2124,,展览休闲,展会,北京
2125,,音乐会,其他音乐会,贵阳
2126,,音乐会,其他音乐会,贵阳
2127,,音乐会,其他音乐会,贵阳
2128,,音乐会,其他音乐会,贵阳
2129,,音乐会,其他音乐会,贵阳
2130,,音乐会,其他音乐会,贵阳
2131,,音乐会,其他音乐会,贵阳
2132,,音乐会,其他音乐会,贵阳
2133,,音乐会,其他音乐会,贵阳
2134,,舞蹈芭蕾,舞蹈,上海
2135,,舞蹈芭蕾,舞蹈,上海
2136,,舞蹈芭蕾,舞蹈,上海
2137,,舞蹈芭蕾,舞蹈,上海
2138,,舞蹈芭蕾,舞蹈,上海
2139,,舞蹈芭蕾,舞蹈,上海
2140,,舞蹈芭蕾,舞蹈,上海
2141,,舞蹈芭蕾,舞蹈,上海
2142,,舞蹈芭蕾,舞蹈,上海
2143,,音乐会,其他音乐会,深圳
2144,,音乐会,其他音乐会,深圳
2145,,音乐会,其他音乐会,深圳
2146,,音乐会,其他音乐会,深圳
2147,,音乐会,其他音乐会,深圳
2148,,音乐会,其他音乐会,深圳
2149,,音乐会,其他音乐会,深圳
2150,,音乐会,其他音乐会,深圳
2151,,音乐会,其他音乐会,深圳
2152,,展览休闲,特色体验,南京
2153,,展览休闲,特色体验,南京
2154,,展览休闲,特色体验,南京
2155,,展览休闲,特色体验,南京
2156,,展览休闲,特色体验,南京
2157,,展览休闲,特色体验,南京
2158,,展览休闲,特色体验,南京
2159,,展览休闲,特色体验,南京
2160,,展览休闲,特色体验,南京
2161,,展览休闲,展会,上海
2162,,展览休闲,展会,上海
2163,,展览休闲,展会,上海
2164,,展览休闲,展会,上海
2165,,展览休闲,展会,上海
2166,,展览休闲,展会,上海
2167,,展览休闲,展会,上海
2168,,展览休闲,展会,上海
2169,,展览休闲,展会,上海
2170,,话剧歌剧,话剧,成都
2171,,话剧歌剧,话剧,成都
2172,,话剧歌剧,话剧,成都
2173,,话剧歌剧,话剧,成都
2174,,话剧歌剧,话剧,成都
2175,,话剧歌剧,话剧,成都
2176,,话剧歌剧,话剧,成都
2177,,话剧歌剧,话剧,成都
2178,,话剧歌剧,话剧,成都
2179,,曲苑杂坛,其他曲苑杂坛,济南
2180,,曲苑杂坛,其他曲苑杂坛,济南
2181,,曲苑杂坛,其他曲苑杂坛,济南
2182,,曲苑杂坛,其他曲苑杂坛,济南
2183,,曲苑杂坛,其他曲苑杂坛,济南
2184,,曲苑杂坛,其他曲苑杂坛,济南
2185,,曲苑杂坛,其他曲苑杂坛,济南
2186,,曲苑杂坛,其他曲苑杂坛,济南
2187,,曲苑杂坛,其他曲苑杂坛,济南
2188,,儿童亲子,其他儿童亲子,石家庄
2189,,儿童亲子,其他儿童亲子,石家庄
2190,,儿童亲子,其他儿童亲子,石家庄
2191,,儿童亲子,其他儿童亲子,石家庄
2192,,儿童亲子,其他儿童亲子,石家庄
2193,,儿童亲子,其他儿童亲子,石家庄
2194,,儿童亲子,其他儿童亲子,石家庄
2195,,儿童亲子,其他儿童亲子,石家庄
2196,,儿童亲子,其他儿童亲子,石家庄
2197,,曲苑杂坛,其他曲苑杂坛,上海
2198,,曲苑杂坛,其他曲苑杂坛,上海
2199,,曲苑杂坛,其他曲苑杂坛,上海
